ID,Mã vận đơn,Trạng thái,Sản phẩm,Số lượng,Đơn giá,Giảm giá,Ngày tạo đơn,Ngày cập nhật,Tỉnh thành phố,Ngày giờ đẩy đơn sang đvvc,Thẻ,Ảnh SP,Doanh thu chưa trừ phí sàn,Tiền thanh toán thực tế,Tổng phí đối soát,Sàn trợ giá,khác,phí aff,tên aff,tiền spf ship,tiền thực nhận,tiền ship shop chịu,phí giao dịch,phí hoa hồng tiktok shop,phí 9% thực tế,phí xtra,phí flash sale,ghi chú,thuế,phí tiktok bù,Phí xử lý đơn hàng
579836175865185774,859379424602,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 200ml",1,130000,6500,01/08/2025,21/08/2025,Hồ Chí Minh,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,123500,128700,0,0,,24700,tynybonsai,0,77544,-35200,-6435,0,-6435,0,0,1 kẽm,-1235,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579836842799236507,859372054304,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 100ml",1,95000,10000,01/08/2025,21/08/2025,Tây Ninh,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,85000,95000,0,0,,17000,vuonmaianhquy,0,53050,-40000,-4750,0,-4750,0,0,1 a6,-850,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579834848427148785,859375404602,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 500ml",1,350000,79275,01/08/2025,22/08/2025,Lâm Đồng,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,297500,270725,0,26775,,54145,vuonmaianhquy,0,194118,-29700,-13536,0,-13536,0,0,1 a6,-2975,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579835268444030091,859379404602,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 200ml",1,130000,14300,01/08/2025,21/08/2025,Tiền Giang,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,115700,135700,0,0,,23140,vuonmaianhquy,0,71892,-40000,-6785,0,-6785,0,0,1 a6,-1157,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579836510729176124,859379484602,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 100ml",1,95000,21050,01/08/2025,21/08/2025,Bến Tre,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,85000,83950,0,11050,,14790,vuonmaianhquy,0,55812,-40000,-4198,0,-4198,0,0,1 a6,-850,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
